"NAME","POP"
"Preseka",1 670
"Dubravica",1 586
"Bedenica",1 522
"Luka",1 419
"Rakovec",1 350
"Žumberak",1 185
"Velika Gorica",63 517
"Samobor",36 206
"Zaprešić",23 125
"Jastrebarsko",16 689
"Sveti Ivan Zelina",16 268
"Sveta Nedelja",15 506
"Ivanić-Grad",14 723
"Vrbovec",14 658
"Dugo Selo",14 300
"Medulin",6 004
"Marčana",3 903
"Raša",3 535
"Žminj",3 447
"Kršan",3 264
"Fažana",3 050
"Ližnjan",2 945
"Sveta Nedelja",2 909
"Barban",2 802
"Vrsar",2 703
"Svetvinčenat",2 218
"Višnjan",2 187
"Pićan",1 997
"Tinjan",1 770
"Cerovlje",1 745
"Brtonigla",1 579
"Tar-Vabriga",1 506
"Karojba",1 489
"Kanfanar",1 457
"Gračišće",1 433
"Sveti Lovreč",1 408
"Kaštelir-Labinci",1 334
"Vižinada",1 137
"Bale",1 047
"Sveti Petar u Šumi",1 011
"Motovun",983
"Oprtalj",981
"Lupoglav",929
"Funtana",831
"Grožnjan",785
"Lanišće",398
"Pula",58 594
"Poreč",17 460
"Rovinj",14 234
"Umag",12 901
"Labin",12 426
"Pazin",9 227
"Buzet",6 059
"Buje",5 340
"Vodnjan",5 651
"Novigrad",4 002
"Čepin",12 901
"Erdut",8 417
"Đurđenovac",7 946
"Darda",7 062
"Bilje",5 480
"Kneževi Vinogradi",5 186
"Bizovac",4 979
"Semeljci",4 858
"Koška",4 411
"Antunovac",3 559
"Draž",3 356
"Podgorač",3 314
"Drenje",3 071
"Petrijevci",3 068
"Čeminac",2 856
"Strizivojna",2 759
"Petlovac",2 743
"Marijanci",2 719
"Satnica Đakovačka",2 572
"Jagodnjak",2 537
"Popovac",2 427
"Feričanci",2 418
"Viljevo",2 396
"Magadenovac",2 239
"Ernestinovo",2 225
"Vladislavci",2 124
"Viškovci",2 060
"Šodolovci",1 955
"Trnava",1 900
"Donja Motičina",1 865
"Punitovci",1 850
"Gorjani",1 832
"Podravska Moslavina",1 451
"Vuka",1 312
"Levanjska Varoš",1 266
"Osijek",114 616
"Đakovo",30 092
"Našice",17 320
"Valpovo",12 327
"Belišće",11 786
"Beli Manastir",10 986
"Donji Miholjac",10 265
"Zagreb",779 145
